Position,Artist,Genre,Lead Streams,Featured streams,Tracks,1b,100m,10m,1m,Update,% Songs Streamed 1Million Times,% Songs Streamed 10Million Times,% Songs Streamed 100Million Times,% Songs Streamed 1Billion Times
113,A Boogie Wit da Hoodie,,"7,092,789,905","3,010,963,795",130,0,16,97,128,11.04.22,98%,75%,12%,0%
114,NF,,"7,063,003,125","127,241,213",81,1,16,81,81,28.03.22,100%,100%,20%,1%
115,5 Seconds of Summer,,"7,055,968,015","497,486,452",162,1,12,96,158,26.03.22,98%,59%,7%,1%
116,Frank Ocean,,"7,029,867,946","2,146,798,898",45,0,21,45,45,11.04.22,100%,100%,47%,0%
117,Bob Marley & The Wailers,,"7,023,048,628","48,398,127",593,0,14,74,351,03.02.22,59%,12%,2%,0%
118,Elton John,,"7,009,556,879","299,423,667",888,0,14,55,247,02.03.22,28%,6%,2%,0%
119,Tiësto,,"6,938,701,862","1,059,062,766",638,0,16,82,302,31.03.22,47%,13%,3%,0%
120,Robin Schulz,,"6,851,000,009","305,414,041",213,0,14,51,143,15.02.22,67%,24%,7%,0%
121,YoungBoy Never Broke Again,,"6,840,882,546","1,182,144,990",373,0,8,167,343,10.04.22,92%,45%,2%,0%
122,Green Day,,"6,811,695,959",475,374,0,12,77,298,07.04.22,80%,21%,3%,0%
123,Metro Boomin,,"6,794,884,040","200,596,396",118,0,16,72,92,22.03.22,78%,61%,14%,0%
124,Bebe Rexha,,"6,777,094,413","3,279,465,832",116,2,14,55,94,01.04.22,81%,47%,12%,2%
125,Romeo Santos,,"6,768,749,936","1,066,912,364",126,0,20,77,103,12.03.22,82%,61%,16%,0%
126,Justin Timberlake,,"6,740,366,076","1,988,041,303",170,1,13,66,112,10.04.22,66%,39%,8%,1%
127,"Tyler, The Creator",,"6,692,975,481","1,338,659,007",153,0,19,92,109,10.04.22,71%,60%,12%,0%
128,DJ Khaled,,"6,686,604,903","183,441,219",166,1,13,61,123,25.03.22,74%,37%,8%,1%
129,Clean Bandit,,"6,606,025,626","23,896,986",163,2,9,39,121,17.03.22,74%,24%,6%,1%
130,Luis Miguel,,"6,579,655,406","1,742,250",312,0,14,116,264,11.04.22,85%,37%,4%,0%
131,Anne-Marie,,"6,544,026,919","764,434,994",130,3,10,42,95,10.04.22,73%,32%,8%,2%
132,Lewis Capaldi,,"6,507,617,673",1,48,2,9,28,44,10.04.22,92%,58%,19%,4%
133,Zara Larsson,,"6,463,765,991","489,779,631",83,2,13,43,77,21.03.22,93%,52%,16%,2%
134,SZA,,"6,412,432,497","2,010,802,282",41,1,18,33,40,10.04.22,98%,80%,44%,2%
135,Black Eyed Peas,,"6,398,081,840","75,552,519",209,0,13,43,122,07.04.22,58%,21%,6%,0%
136,Michael Bublé,,"6,374,520,487","303,793,889",236,0,17,92,187,03.04.22,79%,39%,7%,0%
137,Enrique Iglesias,,"6,342,690,999","322,819,038",282,0,13,70,177,03.04.22,63%,25%,5%,0%
138,Machine Gun Kelly,,"6,324,445,713","919,585,272",135,0,14,94,126,09.04.22,93%,70%,10%,0%
139,Nirvana,,"6,287,795,392",0,298,1,13,56,204,03.04.22,68%,19%,4%,0%
140,Pink Floyd,,"6,277,882,866",0,433,0,11,95,275,29.03.22,64%,22%,3%,0%
141,BLACKPINK,,"6,261,525,837","493,168,424",95,0,19,38,95,11.04.22,100%,40%,20%,0%
142,$uicideboy$,,"6,205,350,803","217,435,436",300,0,10,128,297,01.04.22,99%,43%,3%,0%
143,The Rolling Stones,,"6,203,560,162","6,221,244",1.028,0,13,63,362,11.04.22,35214%,6128%,1265%,0%
