#;Artist;Lead Streams;Feats;Tracks;1b;100m;10m;1m;Update
954;Silk Sonic;1294272147;26970396;11;0;3;11;11;02.04.22
955;A Tribe Called Quest;1292267300;2704021;180;0;2;32;108;28.02.22
956;Pantera;1289470425;17948;169;0;3;20;90;11.04.22
957;Baby Keem;1289309023;12398272;51;0;2;24;47;07.04.22
958;Laura Pausini;1289271047;280106077;445;0;0;24;170;09.04.22
959;Missy Elliott;1288508995;1254676041;137;0;4;20;61;03.04.22
960;Brantley Gilbert;1288253176;100016251;112;0;2;30;82;03.09.21
961;Johann Sebastian Bach;1285784532;998222;13.624;0;0;13;172;10.12.21
962;Craig David;1285531665;86003396;166;0;1;21;88;05.03.22
963;Snakehips;1284895360;87512393;64;0;3;17;45;27.02.21
964;(G)I-DLE;1283249326;0;67;0;4;15;51;11.04.22
965;Eurythmics;1283233746;11691902;211;0;1;11;40;02.04.22
966;Brett Eldredge;1281453333;0;94;0;3;17;70;22.03.22
967;Grouplove;1280951574;4284177;111;0;2;15;67;27.12.21
968;Ben&Ben;1280627960;16188285;54;0;3;27;49;11.04.22
969;Aleman;1280180980;354566050;147;0;2;28;125;24.02.22
970;Andrea Bocelli;1278707389;54470325;484;0;2;25;160;27.11.21
971;Kelsea Ballerini;1277844131;586466804;75;0;1;24;59;08.04.22
972;AWOLNATION;1277027784;30808417;116;0;1;19;69;27.12.21
973;Ultimo;1273737245;74148967;69;0;0;34;62;10.04.22
974;Benjamin Blümchen;1270296618;2187805;5.668;0;0;2;41;09.10.21
975;M.I.A.;1269709772;175946622;116;0;3;11;75;29.03.22
976;RÜFÜS DU SOL;1268839482;10488101;138;0;2;29;88;08.03.22
977;Gemitaiz;1266288238;593315810;160;0;0;34;122;18.12.21
978;Gzuz;1264863622;1449473167;95;0;0;36;93;11.03.22
979;Tinie Tempah;1264492695;429042133;127;0;3;21;63;03.09.21
980;RIN;1261808825;59894250;78;0;1;31;72;20.01.22
981;Dave Matthews Band;1261101094;13501161;1.18;0;1;23;159;02.04.22
982;Death Cab for Cutie;1261046105;32185522;220;0;1;29;119;26.03.22
983;Los Enanitos Verdes;1260653189;5203278;180;0;3;17;85;02.12.21
984;Empire of the Sun;1260338910;152059781;107;0;3;11;52;12.12.21
985;Lil Jon;1259193098;1536589891;142;0;3;15;49;02.09.21
986;Leonard Cohen;1258300413;3028606;390;0;0;31;182;05.03.22
987;Official HIGE DANdism;1250056716;89753;128;0;4;21;64;17.01.22
988;Night Lovell;1246298320;56029888;69;0;2;28;69;24.03.22
989;Ashnikko;1246235045;28694348;40;0;3;20;33;03.04.22
990;Shoreline Mafia;1241175591;153028794;74;0;3;28;72;09.04.22
991;ONE OK ROCK;1240194759;2650929;116;0;0;39;107;17.01.22
992;Los Bukis;1238840274;6645445;245;0;0;43;100;24.09.21
993;The Kinks;1238279649;0;688;0;4;13;76;07.04.22
994;Foals;1238093216;1315605;164;0;2;31;77;15.12.21
995;Kina;1237030469;2962492;31;0;2;9;21;29.05.21
996;Upchurch;1233720207;136998161;225;0;0;29;177;03.03.22
997;Hungria Hip Hop;1233176813;69096039;63;0;1;37;59;04.12.21
998;Chicago;1232497152;5294;725;0;4;11;56;22.03.22
999;Riton;1231385490;21351886;118;0;3;8;24;01.03.22
1000;BIGBANG;1231303296;1123;381;0;2;23;60;09.04.22
