#;Artist;Lead Streams;Feats;Tracks;1b;100m;10m;1m;Update
436;EXO;2700818518;4752962;313;0;7;58;166;01.03.22
437;Lunay;2700083117;799166376;56;0;6;29;52;25.03.22
438;Why Don't We;2700059226;87886458;95;0;8;53;81;22.03.22
439;Bradley Cooper;2666104022;368478;12;1;4;10;10;09.04.22
440;The Cure;2660147954;1258218;544;0;6;25;174;03.04.22
441;Becky Hill;2656432422;21196025;173;0;9;23;71;24.03.22
442;Os Barões Da Pisadinha;2650781861;52743215;154;0;7;66;129;13.03.22
443;Mau y Ricky;2644781291;253177587;65;0;5;35;63;05.02.22
444;Mabel;2642764243;5382783;130;0;6;21;75;14.03.22
445;Weezer;2636294980;5060398;258;0;4;45;190;16.02.22
446;Korn;2628293170;8909521;292;0;5;46;200;28.02.22
447;SAINt JHN;2623951753;120384180;54;1;3;32;53;21.02.22
448;Kali Uchis;2613490072;1457775255;65;0;4;48;61;11.04.22
449;Noah Cyrus;2612906391;118338579;65;0;6;28;59;11.04.22
450;Calum Scott;2604637385;30699559;66;0;6;19;54;25.12.21
451;T.I.;2600518493;2416362779;451;0;6;39;201;16.01.22
452;RAF Camora;2588846229;996321149;387;0;3;58;141;13.01.22
453;Iggy Azalea;2585049303;1070833065;108;0;6;28;69;10.04.22
454;MEDUZA;2582637100;9395439;55;0;4;11;32;15.03.22
455;Joan Sebastian;2582480480;35962481;487;0;5;46;264;06.01.22
456;NLE Choppa;2581704514;542407565;117;0;5;38;92;20.02.22
457;Paul McCartney;2581251127;381393000;821;0;3;25;174;10.04.22
458;Journey;2579814615;3521;265;1;5;17;87;26.01.22
459;iann dior;2568052953;512357562;67;0;8;39;53;21.01.22
460;Grupo Firme;2562887333;457301788;161;0;6;51;115;19.02.22
461;Eric Church;2557769261;271051795;286;0;4;49;115;11.02.22
462;Norah Jones;2544654511;124686297;271;0;4;57;144;10.03.22
463;Juan Gabriel;2538927985;98418039;481;0;2;56;232;07.01.22
464;Jesse & Joy;2538558703;328906057;110;0;9;37;89;06.03.22
465;Vicente Fernández;2537133599;96262577;851;0;1;54;317;01.03.22
466;MARINA;2533712431;9142211;119;0;6;50;92;10.04.22
467;Kenny Chesney;2525550972;150869102;277;0;3;49;184;06.02.22
468;Depeche Mode;2521393833;0;689;0;3;39;267;18.03.22
469;Normani;2503197119;100508766;16;0;4;13;16;09.04.22
470;Simon & Garfunkel;2502816034;0;172;0;5;24;121;25.03.22
471;Aminé;2493613158;148599248;72;0;4;38;71;06.03.22
472;Imanbek;2492412088;24538988;53;1;3;19;41;01.03.22
473;The Game;2492313888;570383861;736;0;6;39;204;11.04.22
474;PNL;2491153666;0;72;0;2;66;72;08.03.22
475;Breaking Benjamin;2487834376;0;102;0;4;56;97;07.04.22
476;Nick Jonas;2487713592;52551336;94;0;8;27;74;10.03.22
477;Bonez MC;2485467469;1525177458;160;0;4;55;114;24.02.22
478;The Beach Boys;2483316679;7223306;1.308;0;7;27;131;08.04.22
479;X Ambassadors;2463808578;1148252462;119;0;4;33;87;24.02.22
480;George Michael;2462361017;21698795;183;0;4;31;119;03.04.22
481;The xx;2446382290;9161558;76;0;5;38;65;23.02.22
482;KHEA;2434306319;801331684;79;0;6;41;76;11.04.22
483;bbno$;2429258945;226578394;146;0;2;39;120;09.04.22
484;Sabrina Carpenter;2427409809;141623493;89;0;7;38;77;25.02.22
485;Christina Perri;2427118735;87851996;90;1;3;17;56;20.02.22
486;Hillsong UNITED;2426520824;129624148;354;0;2;56;236;04.02.22
487;Stray Kids;2425652269;26562755;161;0;3;77;155;11.04.22
488;AJR;2419616080;97180270;86;0;5;39;61;24.02.22
489;Jon Bellion;2413481606;318703495;84;0;3;44;80;02.02.22
490;R.E.M.;2409236484;284511;657;0;5;20;127;21.03.22
491;Matoma;2406213160;294439049;118;0;5;32;79;16.01.22
492;Rich The Kid;2394040011;1720811383;156;0;4;41;118;21.11.21
493;Ufo361;2388012925;544661156;234;0;0;67;188;15.01.22
494;Earth. Wind & Fire;2383853016;89300089;428;1;3;20;70;16.03.22
495;Jimi Hendrix;2383848304;558708;504;0;5;29;136;23.03.22
496;La Arrolladora Banda El Limón De Rene Camacho;2377937424;8659502;323;0;3;56;219;29.03.21
497;Los Ángeles Azules;2372052568;67465206;311;0;5;53;113;19.10.21
498;Volbeat;2371741552;176473;204;0;5;50;146;02.02.22
499;Milky Chance;2369013421;6559564;74;0;4;32;69;07.03.22
500;C. Tangana;2363044873;154739971;80;0;6;45;78;03.04.22
501;Stormzy;2348844516;955819202;69;0;7;49;67;03.04.22
502;KYLE;2337472881;150489057;113;0;5;31;88;17.03.22
503;Van Morrison;2329889907;82580169;847;0;4;21;129;03.04.22
504;Years & Years;2323577791;80163208;103;0;7;30;72;28.01.22
505;Robbie Williams;2318889755;20059538;401;0;6;38;189;19.02.22
506;Cali Y El Dandee;2318006464;196117163;73;0;7;35;62;05.03.22
507;Sam Feldt;2316428982;278689842;148;0;4;44;101;22.04.21
508;The Fray;2311899224;4251361;98;0;5;22;60;24.02.22
509;El Alfa;2302041489;482098652;174;0;7;40;119;31.01.22
510;Lynyrd Skynyrd;2298163165;405716;363;0;4;16;78;08.04.22
511;Eric Clapton;2297376676;432236066;641;0;6;23;201;22.09.21
512;Rick Ross;2296030012;4384956598;334;0;4;45;190;27.12.21
513;Kid Ink;2294713265;2561501342;186;0;5;38;130;03.09.21
514;Dave;2293940303;113934353;60;0;6;48;59;07.04.22
515;DNCE;2280705753;299693378;32;1;4;18;32;10.03.22
516;Shinedown;2278456555;0;177;0;4;50;119;11.03.22
517;Dimitri Vegas & Like Mike;2269766636;105236190;252;0;2;52;135;12.08.21
518;All Time Low;2268594714;1324192;210;0;2;47;167;02.02.22
519;Dermot Kennedy;2256439059;0;71;0;4;35;60;14.01.22
520;T-Pain;2255856235;2489989607;213;0;6;28;111;30.12.21
521;Quinn XCII;2251586862;149711825;85;0;5;50;85;03.04.22
522;Daryl Hall & John Oates;2248379526;28363;534;0;4;12;59;18.03.22
523;Rage Against The Machine;2240466587;0;108;0;5;29;78;20.03.22
524;The Smiths;2238779634;0;139;0;6;44;105;10.03.22
525;Grey;2237009771;17803531;52;1;2;7;21;29.03.21
526;The Cranberries;2233333549;0;264;0;4;20;118;13.03.22
527;Of Monsters and Men;2227479760;3184766;60;0;5;30;53;15.03.22
528;The White Stripes;2227472321;0;172;1;3;23;112;08.04.22
529;Nelly Furtado;2226023162;260384916;211;0;6;14;60;10.04.22
530;MGMT;2217337837;948562022;86;0;4;20;60;28.03.22
531;B.o.B;2216408358;1126272007;417;0;6;22;79;13.10.21
532;Samra;2215292639;248937810;104;0;3;51;104;03.12.21
533;Van Halen;2212816619;24105;207;0;5;24;112;20.03.22
534;Black Sabbath;2210927460;39429;285;0;3;33;116;21.03.22
535;Jay Wheeler;2210664793;423021998;120;0;2;34;93;10.04.22
536;Aya Nakamura;2209797645;141594046;67;0;5;35;67;11.04.22
537;Hollywood Undead;2207129936;16132977;139;0;3;68;127;16.02.22
538;Rag'n'Bone Man;2206539916;73176907;132;0;3;27;77;27.12.21
539;Plan B;2187196071;479769714;112;0;7;26;67;24.02.22
540;Rod Stewart;2182635836;463377854;722;0;4;37;209;24.03.22
541;Brytiago;2179695592;1892731514;80;0;5;36;73;02.04.22
542;Sabaton;2179577108;0;290;0;1;67;162;16.03.22
543;Prince;2173931040;3278548;836;0;4;32;173;03.04.22
544;A Day To Remember;2169682450;0;134;0;3;56;124;19.01.22
545;Keith Urban;2168896929;331984245;192;0;6;36;111;27.01.22
546;Pedro Capó;2162955807;155480546;72;0;5;14;42;07.03.22
